Model,Test_MAE,Test_RMSE,Test_R2,KFold_CV_R2_Mean,KFold_CV_R2_Std,TimeSeriesCV_R2_Mean,TimeSeriesCV_R2_Std
Linear Regression,4.97,6.218,0.9891,0.9972,0.0001,0.515,0.481
Lasso Regression,5.017,6.252,0.989,0.997,0.0001,0.7416,0.2695
Ridge Regression,5.039,6.318,0.9888,0.9971,0.0001,0.4886,0.5212
Random Forest,50.706,69.786,-0.3717,0.9971,0.0001,-0.9486,2.0358
Gradient Boosting,55.528,75.065,-0.5871,0.997,0.0001,-0.9024,1.7847
XGBoost,58.199,76.7,-0.657,0.9971,0.0002,-1.2745,1.9957
SVR,131.729,157.554,-5.9917,0.9975,0.0002,-4.8426,2.3787
